service pair,SIP
1cab97c04ef34b4c86f88579a2e5ddb0 <-> 4b27a705e1f14573a81e063657bb4b8f,0.0
4fef811a5657428a9aaa39da97728b54 <-> 0cd73ffcf30c456fa2529fa739e9284e,0.0
7c557c82c3cb4c0ab406a3ee02dd5889 <-> 2b842b4d8b2b4436976016193e247cd0,0.0
c1bbabbc18104d6bb4bed576d64632a4 <-> db0d1cb7b0dc479abaf7dca87c67c7dd,0.0
47c61dc106fe4537b37851383630273f <-> a8a0d44bf1fb43bcb3718e9f0db27ca2,0.0
3a4fdde24a12499ca3165f9f1d5ac2d2 <-> 3dfd0c327b5d415b8061f0f9e04e01b7,0.0
0046d8a263ac456b979fbe59044acce8 <-> 83536a01113c414bb7972e270521519a,0.0
4d689766c53d44c4b49713c40ca0288f <-> f0511b7a81c9421ba0457346a6df728a,0.0
91e3a28018934540b4d441e3a2fe831a <-> 83275199d89e4ab28e185a2704d0e137,0.0
3e2ef6810e5a44d3bb41977363137dfa <-> 920c0825a4cb4eaa9c94891e89c843b1,0.0
a9e54467c7f840bc89c9592f9f115170 <-> b0e696c5b1254727b0836b29b1ddf4b8,0.0
2d98837c77b544df8a6b41e4ce7f75b2 <-> a264bf617ee44dd497fe4d7a9de63a14,0.0
0da553a1e46441fabd4c4a98d06924b2 <-> 15b50df9cd7d43799bb26d8c42263862,0.0
4b27a705e1f14573a81e063657bb4b8f <-> 46d93b84c83d4d32a22913698ca88b95,0.0
aa93520d6de543698eb87cce83d277ed <-> 0046d8a263ac456b979fbe59044acce8,0.0
bb64d8b5b311452d9d9051694d7f4bb2 <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
00f80ee1fb374d3a80df67b289396f10 <-> 0da553a1e46441fabd4c4a98d06924b2,0.0
dec478408da54908860e4d59ca7749f3 <-> 05f5c709190c44d2b4ccc55a5dbbc87f,0.0
dd89006c3173497a950fabe3d9309088 <-> fd07f263e5d14dd4a40709425be19de5,0.0
e95b8c1438c34798a4ec444e97526748 <-> 0358d1ebf1e0471f93e137ca5922b852,0.0
cd1146e2bac44e3491b9a6ec7d56e9e9 <-> 3b9f7ce6c04f4a91abece7e142d11768,0.0
8c9a59878859482c994550df914e44db <-> 40ec0aad2cd841bdb6d50ff8f30181f7,0.0
1bb1c46777c54946a21715006ebd7212 <-> 3dfd0c327b5d415b8061f0f9e04e01b7,0.0
6c9d6ae665fb467ea970833c5c075714 <-> 756dd38d5d1440ffb865ad60a4c151a7,0.0
db0d1cb7b0dc479abaf7dca87c67c7dd <-> 3b4424c38fea470389fda1eb4a99d5ed,0.0
d266752e507e47acaf1e10a6ce0997b1 <-> d1bee449d5f44dc7ba6ab8326c407e79,0.0
fe7084d7e1bb4b3f9d2262dc49c4d21d <-> ef2ad0938519493b87cae8e4eb66d508,0.0
0821c105d24a48ebaef19ded2cc1b71c <-> e4a90a96765540069468eb92f68cabb3,0.0
d70d53f4b273433ab66ca0c7f8ef8ad9 <-> 2f392262967a4988bfbe431075f329f9,0.0
02219cb05db64427a8fb59e3ef608844 <-> 5b524c4b43434e2aae91467d466d828c,0.0
39b6f1633cf34dd99669f13a5aee1d7c <-> a264bf617ee44dd497fe4d7a9de63a14,0.0
299afc2a832b4af9bd7266fb98d881d9 <-> 83536a01113c414bb7972e270521519a,0.0
cce0b9f5adba48a2b1684f38d2334fa6 <-> 9c823e033faf49dea4b849b3a1f8f0d3,0.0
b2ebd63eb4684f5489fb2bcf07f37960 <-> 0da553a1e46441fabd4c4a98d06924b2,0.0
d70d53f4b273433ab66ca0c7f8ef8ad9 <-> 3237b5c9c7704822b750d83fad070f79,0.0
eed23673b84d4f988d59d2fb7ae7ff55 <-> aa983374928c49bf86381595d2fe005c,0.0
87173eaeeba64e47888e2a9b564893ce <-> 2f392262967a4988bfbe431075f329f9,0.0
1f11948ffdf74602a7c23153867a2f05 <-> 4299df97cf5b4589bf93dfa0852392dd,0.0
c12f600769e447cc9aeac1c410735090 <-> fd07f263e5d14dd4a40709425be19de5,0.0
00f80ee1fb374d3a80df67b289396f10 <-> c3afb2148da6489bb918fb0a4e431b2d,0.0
4ecafd370ce14905997184589c083233 <-> 4a25eb71535f4bdf8fecef61b37f8efd,0.0
1cab97c04ef34b4c86f88579a2e5ddb0 <-> 8bd124e70bc547c8a75f89ba0272ee22,0.0
0ea50e90c2fd45a3847eb45c373e95e0 <-> 756dd38d5d1440ffb865ad60a4c151a7,0.0
c12f600769e447cc9aeac1c410735090 <-> cafdc197849145048e7cabbd0a6dcc3e,0.0
c1e55109fee14b3ea7630941c51c5523 <-> 3719af9129114325bc6eb4eb8483962f,0.0
3839a864de0b4828912bc15beef4e9d5 <-> fa9ba5f5f56546ecb041c18156023e08,0.0
620c06189bec46769370afa83e10df2d <-> 55594061a8f7430fb07fc281cfccc75e,0.0
39b6f1633cf34dd99669f13a5aee1d7c <-> 87173eaeeba64e47888e2a9b564893ce,0.0
3d2ff14445ab4d58aee26578a71a6cfb <-> eed23673b84d4f988d59d2fb7ae7ff55,0.0
bc021882a9c641ebb8d834c319b48a9b <-> a9e54467c7f840bc89c9592f9f115170,0.0
f44f824bafba4961a53f8383323f910c <-> ecc9e7209b0f4a85b1c765da891cde91,0.0
1f11948ffdf74602a7c23153867a2f05 <-> 299afc2a832b4af9bd7266fb98d881d9,0.0
4b27a705e1f14573a81e063657bb4b8f <-> a1052bdec5da409881412df86c8b6ae2,0.0
7c557c82c3cb4c0ab406a3ee02dd5889 <-> bf544761cc0c43a5b5bb9de291b72651,0.0
40ec0aad2cd841bdb6d50ff8f30181f7 <-> 4ecafd370ce14905997184589c083233,0.0
20360f5c64d44347a1039d85f4213965 <-> ad8b1edfaf784de9a02ea6d7b9a492ab,0.0
994cdf8286a34d04b4c5180b86629952 <-> 83275199d89e4ab28e185a2704d0e137,0.0
ce539b5c4243488882f2d588b5c52287 <-> 97e45bd8772247c498b430d83822982a,0.0
0046d8a263ac456b979fbe59044acce8 <-> 7e17eca51cff4ebd8a3f8be4cecdb6a8,0.0
3b9f7ce6c04f4a91abece7e142d11768 <-> b0e696c5b1254727b0836b29b1ddf4b8,0.0
23ebdbce9a924a41919cddc413d796fb <-> 15b50df9cd7d43799bb26d8c42263862,0.0
3719af9129114325bc6eb4eb8483962f <-> 341818b796cc4479a5961da4936fead7,0.0
00b30849693646d79a9c5622bfcacace <-> ef2ad0938519493b87cae8e4eb66d508,0.0
8c9a59878859482c994550df914e44db <-> f6ac23067cdd4793b79bc9f1001d0a54,0.0
7c557c82c3cb4c0ab406a3ee02dd5889 <-> 7243118f0db644aa8ad97619ad2d6171,0.0
84904c05600143b083c52d89872b1f37 <-> 85c7cb05d4ce4829800a722324315a6b,0.0
345e4f12a6494ef08628a1464bcf8fa0 <-> 6cf47e4b79d54d64ba8f69a99d8ba075,0.0
3d2ff14445ab4d58aee26578a71a6cfb <-> 1cab97c04ef34b4c86f88579a2e5ddb0,0.0
2d09b7edd736416f812656dd77abea27 <-> 9c823e033faf49dea4b849b3a1f8f0d3,0.0
a264bf617ee44dd497fe4d7a9de63a14 <-> 47c61dc106fe4537b37851383630273f,0.0
aacc7bc61d434d57830de4ec1f2128b7 <-> 4b27a705e1f14573a81e063657bb4b8f,0.0
f05fca826ccd4358a9c31cfe80fb6348 <-> edacaf9589524b5c9b9b4b35f3c58db6,0.0
80ebb632064049589012032255cf89f8 <-> aacc7bc61d434d57830de4ec1f2128b7,0.0
6c9d6ae665fb467ea970833c5c075714 <-> a8a0d44bf1fb43bcb3718e9f0db27ca2,0.0
95b82d7d37b1438aabc02a0f51e0955c <-> 97e45bd8772247c498b430d83822982a,0.0
0ea50e90c2fd45a3847eb45c373e95e0 <-> e7ef84ab5a4647bc8e693e6cdff0a038,0.0
02219cb05db64427a8fb59e3ef608844 <-> 8eb77985f2254345ba3c37019b2f4636,0.0
f44f824bafba4961a53f8383323f910c <-> 8a586cbeb4424fd6aaf4cc2b1287bbff,0.0
0358d1ebf1e0471f93e137ca5922b852 <-> dd458d084efe409b91dd8c39ec4254f2,0.0
da4122360cec4b1b82d0520c8ce9e6f7 <-> 55594061a8f7430fb07fc281cfccc75e,0.0
2d6cf82a298246668008a6954d44ce21 <-> 4fd933f1bf4142c2bd9850fcf3293b09,0.0
f458d6c1cf47407f957f150bdbf0dd40 <-> 4fd933f1bf4142c2bd9850fcf3293b09,0.0
aa93520d6de543698eb87cce83d277ed <-> 4ecafd370ce14905997184589c083233,0.0
b0e696c5b1254727b0836b29b1ddf4b8 <-> 15b50df9cd7d43799bb26d8c42263862,0.0
afa1f473fb924cfb8f53cb532170b583 <-> 39cf6257f30d435cb7fa1a2c64e8b66a,0.0
97e45bd8772247c498b430d83822982a <-> bd3e2a3a27ff401383c65083c3b948d1,0.0
cbcf1e59da734208ab5854c5e17603a6 <-> ecc9e7209b0f4a85b1c765da891cde91,0.0
64b27ba7e5bc46d49fcea59c29e77376 <-> 55594061a8f7430fb07fc281cfccc75e,0.0
2f392262967a4988bfbe431075f329f9 <-> ede3f631e51f43e2b929dc7a4468932c,0.0
2d09b7edd736416f812656dd77abea27 <-> bc021882a9c641ebb8d834c319b48a9b,0.0
ded93a46951a4850856f972c8608ef58 <-> 3237b5c9c7704822b750d83fad070f79,0.0
40ec0aad2cd841bdb6d50ff8f30181f7 <-> ede3f631e51f43e2b929dc7a4468932c,0.0
4ecafd370ce14905997184589c083233 <-> ef2ad0938519493b87cae8e4eb66d508,0.0
6381a1fbc6fe41bb80a73acf35fe0e95 <-> 3b4424c38fea470389fda1eb4a99d5ed,0.0
900a78c7b7834f9480c83d002512124b <-> 4acce79b8935432881bd32294be9a899,0.0
345e4f12a6494ef08628a1464bcf8fa0 <-> 43b9188c92724c1c9b9a7e75d8f9d2ed,0.0
84904c05600143b083c52d89872b1f37 <-> c3afb2148da6489bb918fb0a4e431b2d,0.0
3719af9129114325bc6eb4eb8483962f <-> ca0f854c5b65474d9cdfa3c5304272a1,0.0
4d689766c53d44c4b49713c40ca0288f <-> 34ca1b43fd744e56921906f5f789f3b8,0.0
c1bbabbc18104d6bb4bed576d64632a4 <-> 2cbd63aa5dfd4ef2b5eb3938fc288584,0.0
4a25eb71535f4bdf8fecef61b37f8efd <-> aa983374928c49bf86381595d2fe005c,0.0
920c0825a4cb4eaa9c94891e89c843b1 <-> f7f899ec759045ddaa5c8ba5c4a798a1,0.0
87173eaeeba64e47888e2a9b564893ce <-> be29b43acb1d43a1846b7137ca7574f4,0.0
3a4fdde24a12499ca3165f9f1d5ac2d2 <-> 7e8ba38561f248e5b56fb1d34c3589e3,0.0
b86c4cbd26a647f59f2da5dab49adf1a <-> 4fd933f1bf4142c2bd9850fcf3293b09,0.0
39b6f1633cf34dd99669f13a5aee1d7c <-> aa983374928c49bf86381595d2fe005c,0.0
