service pair,DIP
d93fbd22d82c42739013ebe75a08ab7a <-> 1cc64e7725c2434ebf8d8171a0d762a3,3.178134435086604E-4
1abb513c8ed8441480a1ea4c0d86d95c <-> d93fbd22d82c42739013ebe75a08ab7a,3.178134435086604E-4
7457d2923ff14b7387a8e462ac456b79 <-> d93fbd22d82c42739013ebe75a08ab7a,3.178134435086604E-4
dc5f596b83994473b1c7e0a2549c2ade <-> d93fbd22d82c42739013ebe75a08ab7a,3.178134435086604E-4
1a1a9baab8684d9d9675eca026b00a5f <-> 7576a9787d8445c08f0c13b8f9697673,3.9231071008238524E-4
1a1a9baab8684d9d9675eca026b00a5f <-> 7617cddb56b5467da69609cd13ff150b,3.9231071008238524E-4
367b17dcf7bd49b7ae039c7cb41f2b70 <-> 1a1a9baab8684d9d9675eca026b00a5f,3.9231071008238524E-4
ca47653695704b528f85f293f4feea24 <-> 138257631a544991b47fb2061eddc90c,3.946719289590528E-4
235a844d83fa4683affbe1d62adf2fbd <-> 4725dcf727a848a3856928b38f8f1250,4.0541225358536464E-4
dc5f596b83994473b1c7e0a2549c2ade <-> 6889ecc1ff164eb7ab7bacd7d741aa2e,4.0933278755628325E-4
6889ecc1ff164eb7ab7bacd7d741aa2e <-> c83bb8dec6bc491e8e06eedfa6aea935,4.0933278755628325E-4
406814b4b3fd47379a58466f37d4b30e <-> 1d2f8f96f5444b79a1276ca140556a61,4.385964912280702E-4
406814b4b3fd47379a58466f37d4b30e <-> 675f697df08c4108bf0122b07da92c1b,4.385964912280702E-4
406814b4b3fd47379a58466f37d4b30e <-> d70e29f964584805b27ec9cab050eb89,4.385964912280702E-4
b9a3d0a4a4b14e508a3448213a9e28a2 <-> 406814b4b3fd47379a58466f37d4b30e,4.385964912280702E-4
711ae3bba8e9412d99264b4f1581fb54 <-> 406814b4b3fd47379a58466f37d4b30e,4.385964912280702E-4
8d081743f9db4b7c8724d675c2cd6b80 <-> 49b7cdb9b6934f8d9783883cf51bece2,4.4822949350067237E-4
9368cbaaed1d46d69144dc76268f33d4 <-> bab2683448e04ef7b2d7a78196cfeffe,4.5578851412944393E-4
711ae3bba8e9412d99264b4f1581fb54 <-> bab2683448e04ef7b2d7a78196cfeffe,4.5578851412944393E-4
bab2683448e04ef7b2d7a78196cfeffe <-> c7d287130eda45c298231fb65ece88a1,4.5578851412944393E-4
191d6141800b4e419ba063d4314b57aa <-> 66c33bba143f486dbae84e6781c89866,5.246589716684155E-4
d4474d50a9f744e3b660644b528d88d7 <-> 615f77405ac842d0a1f32e83826f68b9,5.55247084952804E-4
615f77405ac842d0a1f32e83826f68b9 <-> 7617cddb56b5467da69609cd13ff150b,5.55247084952804E-4
27382f06a31440e2b587212aa1676aad <-> ebec247c85514f9a9f3c9be6821219b2,5.924170616113745E-4
548b0b05ad484a058d884fc255ea0840 <-> ebec247c85514f9a9f3c9be6821219b2,5.924170616113745E-4
9368cbaaed1d46d69144dc76268f33d4 <-> fbf2548155b44ad48e1e23f8243ec48e,6.110601894286587E-4
d9534052607849d28a437426670a7d9e <-> 2233bb6bc78b4bd5835db376d88b3771,6.347191367819739E-4
f3b5877b0e134d0a91e1eaac10376204 <-> d9534052607849d28a437426670a7d9e,6.347191367819739E-4
d35b5b35738d4443862d2b13c22696cd <-> d9534052607849d28a437426670a7d9e,6.347191367819739E-4
d9534052607849d28a437426670a7d9e <-> 1d2f8f96f5444b79a1276ca140556a61,6.347191367819739E-4
0f1c831edb41462cb076b6742d462fd0 <-> d9534052607849d28a437426670a7d9e,6.347191367819739E-4
4ba24436320b40199cf673de289640ea <-> d93fbd22d82c42739013ebe75a08ab7a,6.356268870173208E-4
d93fbd22d82c42739013ebe75a08ab7a <-> d83c46df18cb4baf810e55024ce4eb6d,6.356268870173208E-4
1fddb1e94a314bc784e7a859415c0dc5 <-> afc25092917d4a088fdc7f591fa2eff6,6.793478260869565E-4
42f254a7f8be47a7978e642316e999a0 <-> 66250ad1953746f08ee3605328d82999,7.034822370735139E-4
66250ad1953746f08ee3605328d82999 <-> 99383e3dd45c4282958b6e4d27a00bd0,7.034822370735139E-4
40ffe739f8d347588b6f0ce09a60b80e <-> 9e0e8b0d36f44e36a7afa6e5acff335b,7.309941520467836E-4
d61da1870d664000b9b4dfa3d81e02bd <-> 798f19c1081847298effcd84f7367418,7.541478129713424E-4
eee4f87c95624e5680547a7ac8a02d40 <-> 0a32074affa540468f5d1e4c2af3dd9d,7.547169811320754E-4
eee4f87c95624e5680547a7ac8a02d40 <-> 63c6cc48f8d44b1eb51dbb781127876d,7.547169811320754E-4
1fddb1e94a314bc784e7a859415c0dc5 <-> 1a1a9baab8684d9d9675eca026b00a5f,7.846214201647705E-4
d35b5b35738d4443862d2b13c22696cd <-> 1a1a9baab8684d9d9675eca026b00a5f,7.846214201647705E-4
191d6141800b4e419ba063d4314b57aa <-> 8ef9d4198bd34ab69af664feca3174f9,7.869884575026233E-4
3b1e255926db420d84b91ffa75f884ad <-> eef9ec1be80c499c8627ee00a56812d3,7.930214115781126E-4
c7d287130eda45c298231fb65ece88a1 <-> eef9ec1be80c499c8627ee00a56812d3,7.930214115781126E-4
27382f06a31440e2b587212aa1676aad <-> eef9ec1be80c499c8627ee00a56812d3,7.930214115781126E-4
0091edbb928b421bafe58e13b6df2481 <-> 2233bb6bc78b4bd5835db376d88b3771,8.312551953449709E-4
8d512e888cc645ef981a176f931affbf <-> 0091edbb928b421bafe58e13b6df2481,8.312551953449709E-4
0091edbb928b421bafe58e13b6df2481 <-> 7617cddb56b5467da69609cd13ff150b,8.312551953449709E-4
f038b009648748f79fa7b8636b15649d <-> 406814b4b3fd47379a58466f37d4b30e,8.771929824561404E-4
8d081743f9db4b7c8724d675c2cd6b80 <-> 2fa016ea6387442d8f2a2b3913d6edec,8.964589870013447E-4
8d081743f9db4b7c8724d675c2cd6b80 <-> 9368cbaaed1d46d69144dc76268f33d4,8.964589870013447E-4
8d081743f9db4b7c8724d675c2cd6b80 <-> f3b5877b0e134d0a91e1eaac10376204,8.964589870013447E-4
8d081743f9db4b7c8724d675c2cd6b80 <-> 0f1c831edb41462cb076b6742d462fd0,8.964589870013447E-4
4ecaa31dce4f4a89a0acafcebb16861f <-> bab2683448e04ef7b2d7a78196cfeffe,9.115770282588879E-4
9368cbaaed1d46d69144dc76268f33d4 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,9.165902841429881E-4
813d0da6805a4336866951e2f40884da <-> 9368cbaaed1d46d69144dc76268f33d4,9.165902841429881E-4
fe6def37a520457cab6ff1a8f5be0627 <-> b60f19f680e648a7a16fd3675dc4d7cf,9.75609756097561E-4
675f697df08c4108bf0122b07da92c1b <-> ae1ae2b9d0db43209fda755de8c11396,9.930486593843098E-4
0bf37978d4f949629da167a7b6ae7fff <-> 9e0e8b0d36f44e36a7afa6e5acff335b,9.98003992015968E-4
ca47653695704b528f85f293f4feea24 <-> ca47653695704b528f85f293f4feea24,0.001085347804637395
c7d287130eda45c298231fb65ece88a1 <-> ee9309246bd34b6993eead41053e773b,0.0010893246187363835
c7d287130eda45c298231fb65ece88a1 <-> 483c53e399694ebe8e6e483c0775beea,0.0010893246187363835
c7d287130eda45c298231fb65ece88a1 <-> cd1ded51b95b402b8d76c846b938ecce,0.0010893246187363835
d93fbd22d82c42739013ebe75a08ab7a <-> c0b0128fb8d94304b3a1cd557b8453f8,0.0011123470522803114
8d512e888cc645ef981a176f931affbf <-> 9a61014200f94a36827ff167d7f413de,0.0011173184357541898
8fe5d44140ec43b4a8ba78d0eb27cb68 <-> caf05ab7a95b487987f7de7b7ca742ac,0.0011242270938729624
c0b0128fb8d94304b3a1cd557b8453f8 <-> caf05ab7a95b487987f7de7b7ca742ac,0.0011242270938729624
ca47653695704b528f85f293f4feea24 <-> 47806a685cd34630be105554163760d1,0.0011840157868771583
7457d2923ff14b7387a8e462ac456b79 <-> 4725dcf727a848a3856928b38f8f1250,0.0012162367607560939
a4641b2985944c338dec7db1eba440c9 <-> 798f19c1081847298effcd84f7367418,0.0012174564525191983
6889ecc1ff164eb7ab7bacd7d741aa2e <-> 4ba24436320b40199cf673de289640ea,0.0012279983626688497
d9534052607849d28a437426670a7d9e <-> d70e29f964584805b27ec9cab050eb89,0.0012694382735639479
b9a3d0a4a4b14e508a3448213a9e28a2 <-> d9534052607849d28a437426670a7d9e,0.0012694382735639479
ca47653695704b528f85f293f4feea24 <-> e6288a8445f84cfebe4d54d98400b77f,0.0012826837691169216
a4641b2985944c338dec7db1eba440c9 <-> 191d6141800b4e419ba063d4314b57aa,0.0013116474291710388
7457d2923ff14b7387a8e462ac456b79 <-> 191d6141800b4e419ba063d4314b57aa,0.0013116474291710388
8d081743f9db4b7c8724d675c2cd6b80 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.001344688480502017
89459fc63de549b08918f664273e8b93 <-> 27382f06a31440e2b587212aa1676aad,0.0013477088948787063
d6c7be7a81a64fafb23cc385a6c3c224 <-> 89459fc63de549b08918f664273e8b93,0.0013477088948787063
bab2683448e04ef7b2d7a78196cfeffe <-> 89459fc63de549b08918f664273e8b93,0.0013477088948787063
0ce0732386d1419e9943d5c5e78c8083 <-> 40ffe739f8d347588b6f0ce09a60b80e,0.001352265043948614
4725dcf727a848a3856928b38f8f1250 <-> afc25092917d4a088fdc7f591fa2eff6,0.001358695652173913
40ffe739f8d347588b6f0ce09a60b80e <-> afc25092917d4a088fdc7f591fa2eff6,0.001358695652173913
4ba24436320b40199cf673de289640ea <-> c0b0128fb8d94304b3a1cd557b8453f8,0.0013596193065941536
c0b0128fb8d94304b3a1cd557b8453f8 <-> d83c46df18cb4baf810e55024ce4eb6d,0.0013596193065941536
40ffe739f8d347588b6f0ce09a60b80e <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0013623978201634877
8c0bfdb034b644ff9a77cdd91e445981 <-> 99383e3dd45c4282958b6e4d27a00bd0,0.0013869625520110957
8c0bfdb034b644ff9a77cdd91e445981 <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0013869625520110957
c36aa7f025174baeb6ed267cf480f3c0 <-> 810966a679c744ccbb5db558ed4c5bd7,0.0015337423312883436
eef9ec1be80c499c8627ee00a56812d3 <-> 0ae0dfcbddee49778fac9744c320b39a,0.0015860428231562252
d9534052607849d28a437426670a7d9e <-> ee9309246bd34b6993eead41053e773b,0.0015867978419549348
0db7eaddcdfe40a7a2e9870e2886bedb <-> 8735f28ab3f04dd4b30b4213008e1c16,0.0016142050040355124
6889ecc1ff164eb7ab7bacd7d741aa2e <-> 7457d2923ff14b7387a8e462ac456b79,0.001637331150225133
0091edbb928b421bafe58e13b6df2481 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0016625103906899418
9a61014200f94a36827ff167d7f413de <-> 66250ad1953746f08ee3605328d82999,0.0017587055926837848
09d84c60b7e942abb726bc56923861f7 <-> caf05ab7a95b487987f7de7b7ca742ac,0.0017651430694908955
40ffe739f8d347588b6f0ce09a60b80e <-> 3a1973cead4a4b928ad7bacc22d684d6,0.0017793594306049821
9368cbaaed1d46d69144dc76268f33d4 <-> 27382f06a31440e2b587212aa1676aad,0.0018331805682859762
32b932bcff0e4ca9ba040b8417421f4f <-> ca47653695704b528f85f293f4feea24,0.0018746916625555006
40ffe739f8d347588b6f0ce09a60b80e <-> 7576a9787d8445c08f0c13b8f9697673,0.0018975332068311196
0ce0732386d1419e9943d5c5e78c8083 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0019011406844106464
0ce0732386d1419e9943d5c5e78c8083 <-> fe6def37a520457cab6ff1a8f5be0627,0.0019011406844106464
0ce0732386d1419e9943d5c5e78c8083 <-> 1d2f8f96f5444b79a1276ca140556a61,0.0019011406844106464
4725dcf727a848a3856928b38f8f1250 <-> d9534052607849d28a437426670a7d9e,0.001904157410345922
d9534052607849d28a437426670a7d9e <-> 27382f06a31440e2b587212aa1676aad,0.001904157410345922
927e81cd78b8449bb016ea73b53e6544 <-> d93fbd22d82c42739013ebe75a08ab7a,0.0019068806610519624
367b17dcf7bd49b7ae039c7cb41f2b70 <-> cd1ded51b95b402b8d76c846b938ecce,0.0019665683382497543
367b17dcf7bd49b7ae039c7cb41f2b70 <-> 66250ad1953746f08ee3605328d82999,0.0019665683382497543
367b17dcf7bd49b7ae039c7cb41f2b70 <-> 367b17dcf7bd49b7ae039c7cb41f2b70,0.0019665683382497543
813d0da6805a4336866951e2f40884da <-> 87d9195b5700481bb020cc5a15a6665a,0.001984126984126984
ae1ae2b9d0db43209fda755de8c11396 <-> cd1ded51b95b402b8d76c846b938ecce,0.0019860973187686196
ae1ae2b9d0db43209fda755de8c11396 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0019860973187686196
1e2e706f38784649b351bc19af3f4477 <-> 0ae0dfcbddee49778fac9744c320b39a,0.0019880715705765406
1e0a7e0f90084557bc98b5684488b9a4 <-> 0ae0dfcbddee49778fac9744c320b39a,0.0019880715705765406
0bf37978d4f949629da167a7b6ae7fff <-> cd1ded51b95b402b8d76c846b938ecce,0.001996007984031936
afc25092917d4a088fdc7f591fa2eff6 <-> fbf2548155b44ad48e1e23f8243ec48e,0.0020380434782608695
ab87d98fb54b48cf9e4b5be167bcebb2 <-> afc25092917d4a088fdc7f591fa2eff6,0.0020380434782608695
5c5a98d06be244dcba9523e3b74d3719 <-> c7d287130eda45c298231fb65ece88a1,0.002074688796680498
dc5f596b83994473b1c7e0a2549c2ade <-> 191d6141800b4e419ba063d4314b57aa,0.002098635886673662
40ffe739f8d347588b6f0ce09a60b80e <-> c7d287130eda45c298231fb65ece88a1,0.002178649237472767
367b17dcf7bd49b7ae039c7cb41f2b70 <-> c7d287130eda45c298231fb65ece88a1,0.002178649237472767
1fddb1e94a314bc784e7a859415c0dc5 <-> c7d287130eda45c298231fb65ece88a1,0.002178649237472767
c7d287130eda45c298231fb65ece88a1 <-> fe6def37a520457cab6ff1a8f5be0627,0.002178649237472767
9e0e8b0d36f44e36a7afa6e5acff335b <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0021929824561403508
9e0e8b0d36f44e36a7afa6e5acff335b <-> ea497570ea42406da94f2344b1d10dcb,0.0021929824561403508
406814b4b3fd47379a58466f37d4b30e <-> 0091edbb928b421bafe58e13b6df2481,0.0021929824561403508
18778b60c3c74e0d8372c54ca59fc3df <-> 406814b4b3fd47379a58466f37d4b30e,0.0021929824561403508
b9a3d0a4a4b14e508a3448213a9e28a2 <-> 367b17dcf7bd49b7ae039c7cb41f2b70,0.002207505518763797
b9a3d0a4a4b14e508a3448213a9e28a2 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.002207505518763797
b9a3d0a4a4b14e508a3448213a9e28a2 <-> ee9309246bd34b6993eead41053e773b,0.002207505518763797
675f697df08c4108bf0122b07da92c1b <-> fe6def37a520457cab6ff1a8f5be0627,0.0022123893805309734
2233bb6bc78b4bd5835db376d88b3771 <-> 1d2f8f96f5444b79a1276ca140556a61,0.0022172949002217295
615f77405ac842d0a1f32e83826f68b9 <-> d83c46df18cb4baf810e55024ce4eb6d,0.002220988339811216
615f77405ac842d0a1f32e83826f68b9 <-> 7576a9787d8445c08f0c13b8f9697673,0.002220988339811216
05a276428f484833a1054b945b1bb575 <-> 615f77405ac842d0a1f32e83826f68b9,0.002220988339811216
40ffe739f8d347588b6f0ce09a60b80e <-> d9534052607849d28a437426670a7d9e,0.002221516978736909
d36c92427637495cb4624a9781dc6ea2 <-> d9534052607849d28a437426670a7d9e,0.002221516978736909
d9534052607849d28a437426670a7d9e <-> 0a32074affa540468f5d1e4c2af3dd9d,0.002221516978736909
3fc8956820d3418c975f2992952db803 <-> e808ef733ecf4e47832a42132bc7e537,0.0022271714922048997
e808ef733ecf4e47832a42132bc7e537 <-> b043e94421944a7181b97fe224874680,0.0022271714922048997
8d081743f9db4b7c8724d675c2cd6b80 <-> fb88517dfddb427c8aa520c811970276,0.0022411474675033617
8d081743f9db4b7c8724d675c2cd6b80 <-> 8d081743f9db4b7c8724d675c2cd6b80,0.0022411474675033617
8d081743f9db4b7c8724d675c2cd6b80 <-> 40ffe739f8d347588b6f0ce09a60b80e,0.0022411474675033617
ca47653695704b528f85f293f4feea24 <-> caf05ab7a95b487987f7de7b7ca742ac,0.0022484541877459247
c36aa7f025174baeb6ed267cf480f3c0 <-> bab2683448e04ef7b2d7a78196cfeffe,0.0022789425706472195
bab2683448e04ef7b2d7a78196cfeffe <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0022789425706472195
27382f06a31440e2b587212aa1676aad <-> 1a1a9baab8684d9d9675eca026b00a5f,0.0023538642604943117
0db7eaddcdfe40a7a2e9870e2886bedb <-> 7690023c372b4d68805bedc9538b3b55,0.002421307506053269
927e81cd78b8449bb016ea73b53e6544 <-> 4725dcf727a848a3856928b38f8f1250,0.0024324735215121877
66250ad1953746f08ee3605328d82999 <-> 2233bb6bc78b4bd5835db376d88b3771,0.0024621878297572987
7457d2923ff14b7387a8e462ac456b79 <-> e6288a8445f84cfebe4d54d98400b77f,0.00246669955599408
e9c40280b6cd49b58b2a0af41de7ee47 <-> e6288a8445f84cfebe4d54d98400b77f,0.00246669955599408
1cc64e7725c2434ebf8d8171a0d762a3 <-> e6288a8445f84cfebe4d54d98400b77f,0.00246669955599408
e6288a8445f84cfebe4d54d98400b77f <-> 798f19c1081847298effcd84f7367418,0.00246669955599408
b9a3d0a4a4b14e508a3448213a9e28a2 <-> 0091edbb928b421bafe58e13b6df2481,0.0024937655860349127
0091edbb928b421bafe58e13b6df2481 <-> cd1ded51b95b402b8d76c846b938ecce,0.0024937655860349127
30320c56beb24fe2aedd159b4d3950ef <-> 0091edbb928b421bafe58e13b6df2481,0.0024937655860349127
05a276428f484833a1054b945b1bb575 <-> 4725dcf727a848a3856928b38f8f1250,0.0025845031166066993
a4641b2985944c338dec7db1eba440c9 <-> 4725dcf727a848a3856928b38f8f1250,0.0025845031166066993
406814b4b3fd47379a58466f37d4b30e <-> 30320c56beb24fe2aedd159b4d3950ef,0.002631578947368421
406814b4b3fd47379a58466f37d4b30e <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.002631578947368421
ee9309246bd34b6993eead41053e773b <-> 7617cddb56b5467da69609cd13ff150b,0.0026455026455026454
d93fbd22d82c42739013ebe75a08ab7a <-> 0db7eaddcdfe40a7a2e9870e2886bedb,0.0027014142698236136
40ffe739f8d347588b6f0ce09a60b80e <-> f296ec6acfed45fb82b0d0578480605e,0.002704530087897228
0ce0732386d1419e9943d5c5e78c8083 <-> afc25092917d4a088fdc7f591fa2eff6,0.002717391304347826
afc25092917d4a088fdc7f591fa2eff6 <-> 1d2f8f96f5444b79a1276ca140556a61,0.002717391304347826
1fddb1e94a314bc784e7a859415c0dc5 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0027247956403269754
8d081743f9db4b7c8724d675c2cd6b80 <-> bab2683448e04ef7b2d7a78196cfeffe,0.0027347310847766638
bab2683448e04ef7b2d7a78196cfeffe <-> 1a1a9baab8684d9d9675eca026b00a5f,0.0027347310847766638
bab2683448e04ef7b2d7a78196cfeffe <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0027347310847766638
9368cbaaed1d46d69144dc76268f33d4 <-> 0bf37978d4f949629da167a7b6ae7fff,0.002749770852428964
1fddb1e94a314bc784e7a859415c0dc5 <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0027739251040221915
0ce0732386d1419e9943d5c5e78c8083 <-> cd1ded51b95b402b8d76c846b938ecce,0.002805049088359046
c83bb8dec6bc491e8e06eedfa6aea935 <-> 798f19c1081847298effcd84f7367418,0.0028095148904289193
6889ecc1ff164eb7ab7bacd7d741aa2e <-> 47806a685cd34630be105554163760d1,0.0028653295128939827
fe6def37a520457cab6ff1a8f5be0627 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0029239766081871343
27382f06a31440e2b587212aa1676aad <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0029239766081871343
9e0e8b0d36f44e36a7afa6e5acff335b <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0029239766081871343
367b17dcf7bd49b7ae039c7cb41f2b70 <-> 9a61014200f94a36827ff167d7f413de,0.0029498525073746312
ae1ae2b9d0db43209fda755de8c11396 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0029791459781529296
138257631a544991b47fb2061eddc90c <-> 798f19c1081847298effcd84f7367418,0.0029968158831241805
e9c40280b6cd49b58b2a0af41de7ee47 <-> ecf679e5c6c1459cbca05997812f314e,0.0030165912518853697
ecf679e5c6c1459cbca05997812f314e <-> caf05ab7a95b487987f7de7b7ca742ac,0.0030165912518853697
eee4f87c95624e5680547a7ac8a02d40 <-> d93fbd22d82c42739013ebe75a08ab7a,0.0030188679245283017
eee4f87c95624e5680547a7ac8a02d40 <-> ee9309246bd34b6993eead41053e773b,0.0030188679245283017
eee4f87c95624e5680547a7ac8a02d40 <-> 1d2f8f96f5444b79a1276ca140556a61,0.0030188679245283017
1e0a7e0f90084557bc98b5684488b9a4 <-> 810966a679c744ccbb5db558ed4c5bd7,0.003067484662576687
8d081743f9db4b7c8724d675c2cd6b80 <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0031376064545047063
927e81cd78b8449bb016ea73b53e6544 <-> 191d6141800b4e419ba063d4314b57aa,0.0031479538300104933
d9534052607849d28a437426670a7d9e <-> 9a61014200f94a36827ff167d7f413de,0.0031735956839098697
bab2683448e04ef7b2d7a78196cfeffe <-> 1fddb1e94a314bc784e7a859415c0dc5,0.0031905195989061076
5f88aaee589e4e01a119f7e6a67e05d5 <-> c83bb8dec6bc491e8e06eedfa6aea935,0.003246753246753247
c7d287130eda45c298231fb65ece88a1 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0032679738562091504
b9a3d0a4a4b14e508a3448213a9e28a2 <-> c7d287130eda45c298231fb65ece88a1,0.0032679738562091504
9a61014200f94a36827ff167d7f413de <-> 0091edbb928b421bafe58e13b6df2481,0.0033250207813798837
615f77405ac842d0a1f32e83826f68b9 <-> caf05ab7a95b487987f7de7b7ca742ac,0.003331482509716824
9368cbaaed1d46d69144dc76268f33d4 <-> 9a61014200f94a36827ff167d7f413de,0.003360831041857623
afc25092917d4a088fdc7f591fa2eff6 <-> 2233bb6bc78b4bd5835db376d88b3771,0.0033967391304347825
66250ad1953746f08ee3605328d82999 <-> 27382f06a31440e2b587212aa1676aad,0.0035174111853675696
1a1a9baab8684d9d9675eca026b00a5f <-> 1a1a9baab8684d9d9675eca026b00a5f,0.003530796390741467
5f88aaee589e4e01a119f7e6a67e05d5 <-> 191d6141800b4e419ba063d4314b57aa,0.0036726128016789086
09d84c60b7e942abb726bc56923861f7 <-> 47806a685cd34630be105554163760d1,0.0037160906726124115
32b932bcff0e4ca9ba040b8417421f4f <-> 4725dcf727a848a3856928b38f8f1250,0.003800739877362793
d9534052607849d28a437426670a7d9e <-> b60f19f680e648a7a16fd3675dc4d7cf,0.003808314820691844
406814b4b3fd47379a58466f37d4b30e <-> ee9309246bd34b6993eead41053e773b,0.003947368421052632
1abb513c8ed8441480a1ea4c0d86d95c <-> 4725dcf727a848a3856928b38f8f1250,0.003952769472457305
87d9195b5700481bb020cc5a15a6665a <-> 66250ad1953746f08ee3605328d82999,0.003968253968253968
ee9309246bd34b6993eead41053e773b <-> b043e94421944a7181b97fe224874680,0.003968253968253968
ebec247c85514f9a9f3c9be6821219b2 <-> 0ae0dfcbddee49778fac9744c320b39a,0.003976143141153081
09d84c60b7e942abb726bc56923861f7 <-> cb36b4ebfe2c48078e33f88e2e3559d9,0.003994797473058343
d36c92427637495cb4624a9781dc6ea2 <-> 89459fc63de549b08918f664273e8b93,0.004043126684636119
8d512e888cc645ef981a176f931affbf <-> b043e94421944a7181b97fe224874680,0.0040650406504065045
afc25092917d4a088fdc7f591fa2eff6 <-> 66cc39fe7e934bf2bf24ff6f6c559524,0.004076086956521739
e9c40280b6cd49b58b2a0af41de7ee47 <-> c0b0128fb8d94304b3a1cd557b8453f8,0.004078857919782461
27382f06a31440e2b587212aa1676aad <-> cd1ded51b95b402b8d76c846b938ecce,0.004207573632538569
483c53e399694ebe8e6e483c0775beea <-> b60f19f680e648a7a16fd3675dc4d7cf,0.00425531914893617
8d512e888cc645ef981a176f931affbf <-> 9368cbaaed1d46d69144dc76268f33d4,0.004277421326000611
22635aa8acee4cfe91a6cdc80dac8ba9 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.004373177842565598
9e0e8b0d36f44e36a7afa6e5acff335b <-> cd1ded51b95b402b8d76c846b938ecce,0.0043859649122807015
30320c56beb24fe2aedd159b4d3950ef <-> 675f697df08c4108bf0122b07da92c1b,0.004424778761061947
2233bb6bc78b4bd5835db376d88b3771 <-> 7576a9787d8445c08f0c13b8f9697673,0.004434589800443459
2233bb6bc78b4bd5835db376d88b3771 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.004434589800443459
2233bb6bc78b4bd5835db376d88b3771 <-> 4e3a3ead77d94ffc8e1a5a2ca3c9d7c0,0.004434589800443459
1cc64e7725c2434ebf8d8171a0d762a3 <-> d9534052607849d28a437426670a7d9e,0.004443033957473818
1fddb1e94a314bc784e7a859415c0dc5 <-> e808ef733ecf4e47832a42132bc7e537,0.004454342984409799
a746780cbe9a4506a30b193adb553627 <-> 191d6141800b4e419ba063d4314b57aa,0.004459601259181532
9a61014200f94a36827ff167d7f413de <-> cd1ded51b95b402b8d76c846b938ecce,0.004469273743016759
e9c40280b6cd49b58b2a0af41de7ee47 <-> caf05ab7a95b487987f7de7b7ca742ac,0.004496908375491849
0db7eaddcdfe40a7a2e9870e2886bedb <-> d61da1870d664000b9b4dfa3d81e02bd,0.004524886877828055
