service pair,PIP
a9bad358c1e94347869d7dc578c5d195 <-> 853e0e92847c4cac8059a210aed529b5,0.0
22635aa8acee4cfe91a6cdc80dac8ba9 <-> 86a920fb47de4c3a86deaf0ad8381be4,0.0
1e2e706f38784649b351bc19af3f4477 <-> 0af79d9a5bfa483dbbaf34a37c468cb4,0.0
e9c40280b6cd49b58b2a0af41de7ee47 <-> 059cd1204f2f49a985775026bae3d9a5,0.0
798f19c1081847298effcd84f7367418 <-> 78afc86d6f8445c2adc1d83c4a706d8a,0.0
94c1337605bb446c90bc6c8e201e9819 <-> e3176b58487d4f1ebe77db4d1fe7b510,0.0
f038b009648748f79fa7b8636b15649d <-> d0ad68b7a3aa4ed59458cf7c37149cb5,0.0
bf4616de7de944ae9bc9be8efd9009c0 <-> 810966a679c744ccbb5db558ed4c5bd7,0.0
4fd2b5d9e23444ceba8815cfdf064b1c <-> e48e393aa9ff4e7da6c3327e2a0e8a82,0.0
294bea47eaf94d8d9a89b32ff13509d4 <-> d61da1870d664000b9b4dfa3d81e02bd,0.0
3a6b3811bf764f8d91d46841f11d9ed0 <-> 1fddb1e94a314bc784e7a859415c0dc5,0.0
9319923da7b348338bfb2129520ed685 <-> 0af79d9a5bfa483dbbaf34a37c468cb4,0.0
87d9195b5700481bb020cc5a15a6665a <-> dd2295be9a28477c98e0d3a1a1fed6c6,0.0
ab87d98fb54b48cf9e4b5be167bcebb2 <-> ec2decabdc5e4484984923188a389fa6,0.0
5eadf68a913a417fb76495bfde1726bd <-> 89d3aa574ff041e5a09922c2fe06ca21,0.0
3f2e2dbf9ff8436aaaa057443cf14d71 <-> f8f917fe770d40a799119757bafc5475,0.0
5b3236323b0244a4aec7c26191504fb2 <-> dc854ee703874e40b701e53b2cff1649,0.0
8fe5d44140ec43b4a8ba78d0eb27cb68 <-> 0ce4e639d3c14322be7d3103da4775b9,0.0
39c1283fe373444d8e174d8933f21961 <-> 0ae0dfcbddee49778fac9744c320b39a,0.0
40ffe739f8d347588b6f0ce09a60b80e <-> b150388f9093463a97d4fd62dfe8d2d1,0.0
7bf53713db524184afa8ab585f8242b5 <-> 66bfae54837d4cbeb63643bff3f06ed9,0.0
f3b5877b0e134d0a91e1eaac10376204 <-> 5c5a98d06be244dcba9523e3b74d3719,0.0
a9bad358c1e94347869d7dc578c5d195 <-> c3471ef78a524c9a9d0c85ad644117db,0.0
a758ed517416403585223b37bfde95e2 <-> 99383e3dd45c4282958b6e4d27a00bd0,0.0
01901e80094340f4991c502ad8fb04db <-> 2e4c26802fd94942a4d64e84e95c0d23,0.0
cef807f9ac2d4af39fa62412b976af9b <-> 890fb25c03b44e81adbdae1d635437fb,0.0
cef807f9ac2d4af39fa62412b976af9b <-> d6c7be7a81a64fafb23cc385a6c3c224,0.0
d28c45983c684c2bbacd9fc0403e905f <-> 878ea1138a9e4a2c8008cf212d66140c,0.0
7bdf6866816d41f5bed00b0e09f72fda <-> 406814b4b3fd47379a58466f37d4b30e,0.0
5250e0c4eef5483e8374e7dc71044909 <-> af19b58f8fa74c16b844ac88c01119df,0.0
a493197ba0bc4953a424dfbfa52c65f3 <-> 92c966bb415543e7866b70a0b56d1a79,0.0
ca47653695704b528f85f293f4feea24 <-> d69a5f2f331d4d88a59d7b6dc8cf90dc,0.0
66c33bba143f486dbae84e6781c89866 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0
f296ec6acfed45fb82b0d0578480605e <-> be41e0e96c0c40a4a7e664619cf59e1c,0.0
cb36b4ebfe2c48078e33f88e2e3559d9 <-> 6d63e0cbaf68444cacb25364fc5427db,0.0
230abcbfdd894c11b86220d0ef0808f0 <-> 3c6ab461aa654d53b1ca52f188a734c3,0.0
3b6f0eb18f114562915750f2717954c3 <-> 191d6141800b4e419ba063d4314b57aa,0.0
1ab1ade15a944256accd31637f1cb562 <-> 890fb25c03b44e81adbdae1d635437fb,0.0
2e03e4b59f324286af529250ab75a9bf <-> ac59e167973e4e8991f1233b82899e98,0.0
aee563d1adb14a708fc4bf868867352b <-> bab2683448e04ef7b2d7a78196cfeffe,0.0
f038b009648748f79fa7b8636b15649d <-> ac59e167973e4e8991f1233b82899e98,0.0
5c5a98d06be244dcba9523e3b74d3719 <-> 853e0e92847c4cac8059a210aed529b5,0.0
191d6141800b4e419ba063d4314b57aa <-> 0bf37978d4f949629da167a7b6ae7fff,0.0
d36c92427637495cb4624a9781dc6ea2 <-> 2572ec45fd334386953b85406bcc285f,0.0
9676a6491f0f4ec392a010e1788bba33 <-> 4ecaa31dce4f4a89a0acafcebb16861f,0.0
66c33bba143f486dbae84e6781c89866 <-> 1b203c54747e479e9e91465f82a8943c,0.0
af59c0d0f3a8414e80ec60cf99be4acc <-> eef9ec1be80c499c8627ee00a56812d3,0.0
5d3f47fb795047caadc42ab1ad983ca7 <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0
eee4f87c95624e5680547a7ac8a02d40 <-> 0df7ee329bbf401eb00d59a5e8e25b73,0.0
c899e54985934a57a3d3286df5bce7ed <-> b599ea5facc54b3491c19d6f52057bbe,0.0
5250e0c4eef5483e8374e7dc71044909 <-> 3af1df6eeadc4987be24a92ea5d3c873,0.0
0df4b5afb7074fd3b0a1052e8b84140a <-> 7bf53713db524184afa8ab585f8242b5,0.0
d529c0dd97ec4e5fa748cc769f1ddb59 <-> 927e81cd78b8449bb016ea73b53e6544,0.0
89d3aa574ff041e5a09922c2fe06ca21 <-> 897e0fdb7d5f4194b93e27bf75910faa,0.0
c080765d53fa4c61be24f91d9e8918f0 <-> 6d63e0cbaf68444cacb25364fc5427db,0.0
59134d8247024b8ab35c22b840afb361 <-> 3a6b3811bf764f8d91d46841f11d9ed0,0.0
4fd2b5d9e23444ceba8815cfdf064b1c <-> c080765d53fa4c61be24f91d9e8918f0,0.0
01901e80094340f4991c502ad8fb04db <-> 86a920fb47de4c3a86deaf0ad8381be4,0.0
0ce4e639d3c14322be7d3103da4775b9 <-> b60f19f680e648a7a16fd3675dc4d7cf,0.0
5061dcd7413e4226bafaf49c072ab83c <-> 0ae0dfcbddee49778fac9744c320b39a,0.0
235a844d83fa4683affbe1d62adf2fbd <-> 9a085a1357fa4134a3ab0f0934f81875,0.0
aba40e69ad044570a06bb9163b43c380 <-> 39c1283fe373444d8e174d8933f21961,0.0
a4641b2985944c338dec7db1eba440c9 <-> 0af79d9a5bfa483dbbaf34a37c468cb4,0.0
a57825b87aed4deda1a98638126e4c48 <-> 2e03e4b59f324286af529250ab75a9bf,0.0
df840dc57fa643c4a2263c66929abcbd <-> 623dc1ca0abc4eb1bb72208fbaf8d504,0.0
b2b95b20aa0242e882363816d15b13e8 <-> a758ed517416403585223b37bfde95e2,0.0
ac59e167973e4e8991f1233b82899e98 <-> 9e0e8b0d36f44e36a7afa6e5acff335b,0.0
0ce4e639d3c14322be7d3103da4775b9 <-> 69de05283d0247858fc024b175268a76,0.0
1ab1ade15a944256accd31637f1cb562 <-> 0bf37978d4f949629da167a7b6ae7fff,0.0
878ea1138a9e4a2c8008cf212d66140c <-> be41e0e96c0c40a4a7e664619cf59e1c,0.0
5b3236323b0244a4aec7c26191504fb2 <-> a9bad358c1e94347869d7dc578c5d195,0.0
49698b4f23684a569ac46dfe237a1f6f <-> 2e03e4b59f324286af529250ab75a9bf,0.0
86a920fb47de4c3a86deaf0ad8381be4 <-> 63c6cc48f8d44b1eb51dbb781127876d,0.0
1f380ec08e7a429c91f6b07e23be6e4b <-> 802a9802cb494ed5ab3d102af47ee5fe,0.0
e1081a21cc6f4c298b53ba51afb4eeda <-> 3c6ab461aa654d53b1ca52f188a734c3,0.0
67ee6cf8da674b6585aeadea34061fed <-> 2233bb6bc78b4bd5835db376d88b3771,0.0
4694e999538a4c7cae4926c99e784532 <-> f68b7c128e1748ce88094fc20243ada0,0.0
94c1337605bb446c90bc6c8e201e9819 <-> c3471ef78a524c9a9d0c85ad644117db,0.0
30320c56beb24fe2aedd159b4d3950ef <-> 2b40dfd727f34cdbb93a041a571aa63f,0.0
8d512e888cc645ef981a176f931affbf <-> 18778b60c3c74e0d8372c54ca59fc3df,0.0
d9890e9f2682486ca1e326870d88372d <-> eafcc17601e44858877257a3d56ce38c,0.0
a57825b87aed4deda1a98638126e4c48 <-> 3f2e2dbf9ff8436aaaa057443cf14d71,0.0
f68b7c128e1748ce88094fc20243ada0 <-> 22635aa8acee4cfe91a6cdc80dac8ba9,0.0
afc25092917d4a088fdc7f591fa2eff6 <-> e48e393aa9ff4e7da6c3327e2a0e8a82,0.0
711ae3bba8e9412d99264b4f1581fb54 <-> d9890e9f2682486ca1e326870d88372d,0.0
375b5314337746379a84183a6d756b6a <-> 66c33bba143f486dbae84e6781c89866,0.0
416128a7b06d4c569c1b1a1070cb69c8 <-> b003571fb38d47b389a206b06e869dd5,0.0
cefa47243b0f48bbb0cbe46b926bcff3 <-> 2b40dfd727f34cdbb93a041a571aa63f,0.0
b2b95b20aa0242e882363816d15b13e8 <-> 66bfae54837d4cbeb63643bff3f06ed9,0.0
d36c92427637495cb4624a9781dc6ea2 <-> 7048420b6f974ac78b332f83caf8e016,0.0
89d3aa574ff041e5a09922c2fe06ca21 <-> fb88517dfddb427c8aa520c811970276,0.0
f794a99d30934a64962346ffb15a17f1 <-> 0df4b5afb7074fd3b0a1052e8b84140a,0.0
f3b5877b0e134d0a91e1eaac10376204 <-> 878ea1138a9e4a2c8008cf212d66140c,0.0
f1487c21e9d84fe99b2575b2bec8c785 <-> b80c009d29a449808960613d4dc788f1,0.0
7048420b6f974ac78b332f83caf8e016 <-> 2572ec45fd334386953b85406bcc285f,0.0
c228e8171c7d40fca4b891d903040d38 <-> 1758f80c9988401b9072532189f1faf6,0.0
69de05283d0247858fc024b175268a76 <-> 96ff4a4dd2244e4c88c9f4c8ac236ef5,0.0
e5f5b3c94ecf4ac5bde5b60c07fd9132 <-> a442e044a2724160bb4dc4ee6295bf73,0.0
316187867f344601a8622333c9f03275 <-> cd1ded51b95b402b8d76c846b938ecce,0.0
4694e999538a4c7cae4926c99e784532 <-> d70e29f964584805b27ec9cab050eb89,0.0
371f58187d854c47b1a67e394812740c <-> ea497570ea42406da94f2344b1d10dcb,0.0
cb36b4ebfe2c48078e33f88e2e3559d9 <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0
8fe5d44140ec43b4a8ba78d0eb27cb68 <-> c080765d53fa4c61be24f91d9e8918f0,0.0
5f88aaee589e4e01a119f7e6a67e05d5 <-> 5142e9d5100e46de8d977c8f0a6dc990,0.0
40ffe739f8d347588b6f0ce09a60b80e <-> ee9309246bd34b6993eead41053e773b,0.0
a078b92698124410b621b60fefb17864 <-> 9a085a1357fa4134a3ab0f0934f81875,0.0
e65a59df2b2143cd841e744e94da27ed <-> 810966a679c744ccbb5db558ed4c5bd7,0.0
316187867f344601a8622333c9f03275 <-> e9c40280b6cd49b58b2a0af41de7ee47,0.0
2572ec45fd334386953b85406bcc285f <-> 0ae0dfcbddee49778fac9744c320b39a,0.0
63c6cc48f8d44b1eb51dbb781127876d <-> 87d9195b5700481bb020cc5a15a6665a,0.0
67ee6cf8da674b6585aeadea34061fed <-> 2572ec45fd334386953b85406bcc285f,0.0
5250e0c4eef5483e8374e7dc71044909 <-> c83bb8dec6bc491e8e06eedfa6aea935,0.0
e3176b58487d4f1ebe77db4d1fe7b510 <-> 89820d92e0424e8ab7286084af8fef91,0.0
017a12a6e84f4a5789521db85f07ba1b <-> ebec247c85514f9a9f3c9be6821219b2,0.0
cefa47243b0f48bbb0cbe46b926bcff3 <-> 5142e9d5100e46de8d977c8f0a6dc990,0.0
eef9ec1be80c499c8627ee00a56812d3 <-> 5142e9d5100e46de8d977c8f0a6dc990,0.0
506247ecc9634fcda2b83c9fdd65e51b <-> 7576a9787d8445c08f0c13b8f9697673,0.0
a758ed517416403585223b37bfde95e2 <-> 07f414501e5c4d25828c25ab6ff5abd2,0.0
548b0b05ad484a058d884fc255ea0840 <-> be41e0e96c0c40a4a7e664619cf59e1c,0.0
ca47653695704b528f85f293f4feea24 <-> 802a9802cb494ed5ab3d102af47ee5fe,0.0
375b5314337746379a84183a6d756b6a <-> c36aa7f025174baeb6ed267cf480f3c0,0.0
548b0b05ad484a058d884fc255ea0840 <-> 66cc39fe7e934bf2bf24ff6f6c559524,0.0
e9c40280b6cd49b58b2a0af41de7ee47 <-> 96548ca2d4ab48da821982727c6fb65f,0.0
89173fb7f1d044638a613accd3d0dc87 <-> 335ce475732f410d8b05fc7b73dc6f12,0.0
b80c009d29a449808960613d4dc788f1 <-> 8d07717213c64953a432734b8c100a55,0.0
86a920fb47de4c3a86deaf0ad8381be4 <-> 506247ecc9634fcda2b83c9fdd65e51b,0.0
d6c7be7a81a64fafb23cc385a6c3c224 <-> 67ee6cf8da674b6585aeadea34061fed,0.0
40ffe739f8d347588b6f0ce09a60b80e <-> dd2295be9a28477c98e0d3a1a1fed6c6,0.0
0df7ee329bbf401eb00d59a5e8e25b73 <-> 810966a679c744ccbb5db558ed4c5bd7,0.0
d35b5b35738d4443862d2b13c22696cd <-> 47806a685cd34630be105554163760d1,0.0
7bdf6866816d41f5bed00b0e09f72fda <-> e1081a21cc6f4c298b53ba51afb4eeda,0.0
01901e80094340f4991c502ad8fb04db <-> 7bdf6866816d41f5bed00b0e09f72fda,0.0
375b5314337746379a84183a6d756b6a <-> 5eadf68a913a417fb76495bfde1726bd,0.0
c3471ef78a524c9a9d0c85ad644117db <-> 66bfae54837d4cbeb63643bff3f06ed9,0.0
d36c92427637495cb4624a9781dc6ea2 <-> 9f266c28942c430f873f728b5983d1cf,0.0
c228e8171c7d40fca4b891d903040d38 <-> 2e4c26802fd94942a4d64e84e95c0d23,0.0
b80c009d29a449808960613d4dc788f1 <-> 249aebde0cf549349e8a455b295a4668,0.0
ab87d98fb54b48cf9e4b5be167bcebb2 <-> 78afc86d6f8445c2adc1d83c4a706d8a,0.0
9676a6491f0f4ec392a010e1788bba33 <-> f038b009648748f79fa7b8636b15649d,0.0
b9a3d0a4a4b14e508a3448213a9e28a2 <-> 1fddb1e94a314bc784e7a859415c0dc5,0.0
d4a4ca453df94f23a7806f4eb00cbcb3 <-> d69a5f2f331d4d88a59d7b6dc8cf90dc,0.0
49b7cdb9b6934f8d9783883cf51bece2 <-> 7690023c372b4d68805bedc9538b3b55,0.0
5f88aaee589e4e01a119f7e6a67e05d5 <-> efceb6336f0445f4b917084fa2862177,0.0
dc5f596b83994473b1c7e0a2549c2ade <-> 07f414501e5c4d25828c25ab6ff5abd2,0.0
