interface pair,RWR
POST /api/v1/configservice/configs <-> PUT /api/v1/configservice/configs,1.166666667
DELETE /api/v1/configservice/configs/{configName} <-> PUT /api/v1/configservice/configs,1.166666667
DELETE /api/v1/stationservice/stations <-> PUT /api/v1/stationservice/stations,1.166666667
GET /api/v1/orderservice/order <-> PUT /api/v1/orderservice/order,1.25
GET /api/v1/orderservice/order <-> GET /api/v1/orderservice/order/status/{orderId}/{status},1.25
GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status} <-> POST /api/v1/orderOtherService/orderOther/tickets,1.448717949
GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status} <-> GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber},1.448717949
POST /api/v1/orderOtherService/orderOther <-> POST /api/v1/orderOtherService/orderOther/tickets,1.486842105
GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber} <-> POST /api/v1/orderOtherService/orderOther,1.486842105
GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money} <-> POST /api/v1/inside_pay_service/inside_payment,1.654891304
POST /api/v1/orderservice/order <-> PUT /api/v1/orderservice/order,1.677083333
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> POST /api/v1/orderservice/order,1.677083333
GET /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order,1.708333333
GET /api/v1/stationservice/stations/name/{stationIdForName} <-> PUT /api/v1/stationservice/stations,2
GET /api/v1/stationservice/stations/name/{stationIdForName} <-> POST /api/v1/stationservice/stations,2
DELETE /api/v1/stationservice/stations <-> GET /api/v1/stationservice/stations/name/{stationIdForName},2
POST /api/v1/orderOtherService/orderOther <-> PUT /api/v1/orderOtherService/orderOther,2.039802632
GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status} <-> PUT /api/v1/orderOtherService/orderOther,2.078205128
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> POST /api/v1/orderservice/order,2.083333333
PUT /api/v1/orderservice/order <-> PUT /api/v1/orderservice/order/admin,2.125
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> PUT /api/v1/orderservice/order/admin,2.125
POST /api/v1/orderservice/order/admin <-> PUT /api/v1/orderservice/order,2.25
DELETE /api/v1/orderservice/order/{orderId} <-> PUT /api/v1/orderservice/order,2.25
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> POST /api/v1/orderservice/order/admin,2.25
DELETE /api/v1/orderservice/order/{orderId} <-> GET /api/v1/orderservice/order/status/{orderId}/{status},2.25
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> PUT /api/v1/orderOtherService/orderOther,2.5
POST /api/v1/consignservice/consigns <-> PUT /api/v1/consignservice/consigns,2.609090909
GET /api/v1/orderOtherService/orderOther/{orderId} <-> PUT /api/v1/orderOtherService/orderOther,2.65
GET /api/v1/userservice/users <-> PUT /api/v1/userservice/users,3
POST /api/v1/orderservice/order <-> POST /api/v1/orderservice/order/refresh,3.333333333
POST /api/v1/orderOtherService/orderOther/refresh <-> PUT /api/v1/orderOtherService/orderOther,3.5
DELETE /api/v1/travel2service/trips/{tripId} <-> GET /api/v1/travel2service/admin_trip,5
GET /api/v1/stationservice/stations <-> PUT /api/v1/stationservice/stations,5
GET /api/v1/orderservice/order <-> POST /api/v1/orderservice/order/admin,5
GET /api/v1/trainservice/trains <-> PUT /api/v1/trainservice/trains,5
GET /api/v1/orderservice/order <-> PUT /api/v1/orderservice/order/admin,5
DELETE /api/v1/stationservice/stations <-> GET /api/v1/stationservice/stations,5
DELETE /api/v1/orderservice/order/{orderId} <-> GET /api/v1/orderservice/order,5
GET /api/v1/travel2service/admin_trip <-> PUT /api/v1/travel2service/trips,5
GET /api/v1/travel2service/admin_trip <-> POST /api/v1/travel2service/trips,5
DELETE /api/v1/trainservice/trains/{id} <-> GET /api/v1/trainservice/trains,5
DELETE /api/v1/configservice/configs/{configName} <-> GET /api/v1/configservice/configs,5
GET /api/v1/configservice/configs <-> PUT /api/v1/configservice/configs,5
GET /api/v1/trainservice/trains <-> POST /api/v1/trainservice/trains,5
GET /api/v1/configservice/configs <-> POST /api/v1/configservice/configs,5
GET /api/v1/stationservice/stations <-> POST /api/v1/stationservice/stations,5
GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money} <-> GET /api/v1/inside_pay_service/inside_payment/{userId}/{money},5.05
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> GET /api/v1/orderservice/order/{orderId},5.125
GET /api/v1/orderservice/order/{orderId} <-> PUT /api/v1/orderservice/order,5.125
POST /api/v1/auth <-> POST /api/v1/users/login,5.5
DELETE /api/v1/users/{userId} <-> POST /api/v1/users/login,5.5
GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber} <-> PUT /api/v1/orderOtherService/orderOther,5.65
POST /api/v1/orderOtherService/orderOther/tickets <-> PUT /api/v1/orderOtherService/orderOther,5.65
GET /api/v1/orderservice/order/{travelDate}/{trainNumber} <-> POST /api/v1/orderservice/order,5.875
POST /api/v1/orderservice/order <-> POST /api/v1/orderservice/order/tickets,5.875
GET /api/v1/priceservice/prices <-> PUT /api/v1/priceservice/prices,6
GET /api/v1/contactservice/contacts <-> PUT /api/v1/contactservice/contacts,6
DELETE /api/v1/contactservice/contacts/{contactsId} <-> GET /api/v1/contactservice/contacts,6
GET /api/v1/contactservice/contacts <-> POST /api/v1/contactservice/contacts/admin,6
GET /api/v1/userservice/users <-> POST /api/v1/userservice/users/register,6
GET /api/v1/priceservice/prices <-> POST /api/v1/priceservice/prices,6
DELETE /api/v1/userservice/users/{userId} <-> GET /api/v1/userservice/users,6
DELETE /api/v1/priceservice/prices <-> GET /api/v1/priceservice/prices,6
DELETE /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order,6.041666667
POST /api/v1/orderservice/order <-> POST /api/v1/orderservice/order/admin,6.041666667
POST /api/v1/orderservice/order <-> PUT /api/v1/orderservice/order/admin,6.044270833
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> GET /api/v1/orderservice/order/status/{orderId}/{status},6.25
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> PUT /api/v1/orderservice/order,6.25
GET /api/v1/routeservice/routes <-> POST /api/v1/routeservice/routes,6.5
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> POST /api/v1/orderservice/order/refresh,10
POST /api/v1/orderservice/order/refresh <-> PUT /api/v1/orderservice/order,10
GET /api/v1/userservice/users/id/{userId} <-> PUT /api/v1/userservice/users,12.5
GET /api/v1/inside_pay_service/inside_payment/{userId}/{money} <-> POST /api/v1/inside_pay_service/inside_payment,14.39673913
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> GET /api/v1/orderservice/order/{travelDate}/{trainNumber},17.625
GET /api/v1/orderservice/order/{travelDate}/{trainNumber} <-> PUT /api/v1/orderservice/order,17.625
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> POST /api/v1/orderservice/order/tickets,17.625
POST /api/v1/orderservice/order/tickets <-> PUT /api/v1/orderservice/order,17.625
POST /api/v1/travel2service/trip_detail <-> PUT /api/v1/travel2service/trips,19
POST /api/v1/travel2service/trip_detail <-> POST /api/v1/travel2service/trips,19
DELETE /api/v1/travel2service/trips/{tripId} <-> POST /api/v1/travel2service/trip_detail,19
GET /api/v1/orderservice/order/{orderId} <-> PUT /api/v1/orderservice/order/admin,20.5
GET /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order/admin,20.5
DELETE /api/v1/orderservice/order/{orderId} <-> GET /api/v1/orderservice/order/{orderId},20.5
GET /api/v1/userservice/users/id/{userId} <-> POST /api/v1/userservice/users/register,25
DELETE /api/v1/userservice/users/{userId} <-> GET /api/v1/userservice/users/id/{userId},25
GET /api/v1/contactservice/contacts/{id} <-> POST /api/v1/contactservice/contacts/admin,25
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> POST /api/v1/orderservice/order/admin,25
DELETE /api/v1/orderservice/order/{orderId} <-> GET /api/v1/orderservice/order/security/{checkDate}/{accountId},25
GET /api/v1/contactservice/contacts/{id} <-> PUT /api/v1/contactservice/contacts,25
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> PUT /api/v1/orderservice/order/admin,25
DELETE /api/v1/contactservice/contacts/{contactsId} <-> GET /api/v1/contactservice/contacts/account/{accountId},25
GET /api/v1/contactservice/contacts/account/{accountId} <-> POST /api/v1/contactservice/contacts/admin,25
GET /api/v1/contactservice/contacts/account/{accountId} <-> PUT /api/v1/contactservice/contacts,25
DELETE /api/v1/contactservice/contacts/{contactsId} <-> GET /api/v1/contactservice/contacts/{id},25
POST /api/v1/orderservice/order/admin <-> POST /api/v1/orderservice/order/refresh,40
DELETE /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order/refresh,40
POST /api/v1/orderservice/order/refresh <-> PUT /api/v1/orderservice/order/admin,40
GET /api/v1/travel2service/routes/{tripId} <-> PUT /api/v1/travel2service/trips,56.5
DELETE /api/v1/travel2service/trips/{tripId} <-> GET /api/v1/travel2service/train_types/{tripId},56.5
GET /api/v1/travel2service/train_types/{tripId} <-> POST /api/v1/travel2service/trips,56.5
DELETE /api/v1/travel2service/trips/{tripId} <-> GET /api/v1/travel2service/routes/{tripId},56.5
GET /api/v1/travel2service/routes/{tripId} <-> POST /api/v1/travel2service/trips,56.5
GET /api/v1/travel2service/train_types/{tripId} <-> PUT /api/v1/travel2service/trips,56.5
POST /api/v1/travel2service/trips <-> POST /api/v1/travel2service/trips/left,62.5
DELETE /api/v1/travel2service/trips/{tripId} <-> POST /api/v1/travel2service/trips/left,62.5
POST /api/v1/travel2service/trips/left <-> PUT /api/v1/travel2service/trips,62.5
GET /api/v1/orderservice/order/{travelDate}/{trainNumber} <-> PUT /api/v1/orderservice/order/admin,70.5
POST /api/v1/orderservice/order/tickets <-> PUT /api/v1/orderservice/order/admin,70.5
DELETE /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order/tickets,70.5
POST /api/v1/orderservice/order/admin <-> POST /api/v1/orderservice/order/tickets,70.5
DELETE /api/v1/orderservice/order/{orderId} <-> GET /api/v1/orderservice/order/{travelDate}/{trainNumber},70.5
GET /api/v1/orderservice/order/{travelDate}/{trainNumber} <-> POST /api/v1/orderservice/order/admin,70.5
POST /api/v1/stationservice/stations/namelist <-> PUT /api/v1/stationservice/stations,100
POST /api/v1/stationservice/stations <-> POST /api/v1/stationservice/stations/namelist,100
DELETE /api/v1/stationservice/stations <-> POST /api/v1/stationservice/stations/namelist,100
GET /api/v1/priceservice/prices/{routeId}/{trainType} <-> POST /api/v1/priceservice/prices,127
GET /api/v1/configservice/configs/{configName} <-> PUT /api/v1/configservice/configs,127
GET /api/v1/configservice/configs/{configName} <-> POST /api/v1/configservice/configs,127
DELETE /api/v1/configservice/configs/{configName} <-> GET /api/v1/configservice/configs/{configName},127
DELETE /api/v1/priceservice/prices <-> GET /api/v1/priceservice/prices/{routeId}/{trainType},127
GET /api/v1/priceservice/prices/{routeId}/{trainType} <-> PUT /api/v1/priceservice/prices,127
GET /api/v1/trainservice/trains/{id} <-> POST /api/v1/trainservice/trains,132
GET /api/v1/trainservice/trains/{id} <-> PUT /api/v1/trainservice/trains,132
DELETE /api/v1/trainservice/trains/{id} <-> GET /api/v1/trainservice/trains/{id},132
GET /api/v1/stationservice/stations/id/{stationNameForId} <-> POST /api/v1/stationservice/stations,152
DELETE /api/v1/stationservice/stations <-> GET /api/v1/stationservice/stations/id/{stationNameForId},152
GET /api/v1/stationservice/stations/id/{stationNameForId} <-> PUT /api/v1/stationservice/stations,152
GET /api/v1/routeservice/routes/{routeId} <-> POST /api/v1/routeservice/routes,157
